isogroup	scaffold	start	end	annotation	lg	cM
isogroup=32652	c622226	242446	241972	NA	6	575.594
isogroup=9326	c1398227	407913	407165	Predicted mitochondrial carrier protein ; solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10 E=1e-21	1	67.238
isogroup=9327	c1194425	27003	25913	NA	8	771.664
isogroup=9324	c1027048	12751	13539	FOG: Immunoglobin and related proteins	1	45.095
isogroup=9393	c1727753	291722	291253	NA	7	689.706
isogroup=9329	c1657122	226523	224607	Uncharacterized conserved protein	2	175.055
isogroup=6312	c2446161	48711	48041	NA	7	669.947
isogroup=6316	c388397	641929	641365	Sodium-neurotransmitter symporter ; solute carrier family 6 (neurotransmitter transporter, GABA) member 1 E=1e-138	5	487.606
isogroup=6315	c2013605	148564	150049	Neurochondrin/leucine-rich protein (Neurochondrin)	9	836.291
isogroup=6318	c2079967	161151	162033	Polytopic membrane protein Prominin	2	117.298
isogroup=3013	c1067544	66961	63707	Rac GTPase-activating protein BCR/ABR ; breakpoint cluster region protein [EC:2.7.11.1] E=3e-30	14	1421.878
isogroup=3992	c2042759	152325	151430	Actin regulatory protein (Wiskott-Aldrich syndrome protein)	4	373.115
isogroup=19911	c187788	114832	115026	NA	13	1235.75
isogroup=19910	c1122836	177947	177247	Membrane protein involved in organellar division	8	739.318
isogroup=19912	c1786112	71780	71231	NA	5	516.545
isogroup=19914	c2045768	155221	154182	C-type lectin ; CD209 antigen E=2e-61	7	672.027
isogroup=19916	c948860	18216	17125	LRR-containing protein ; NACHT, LRR and PYD domains-containing protein 3 E=6e-59	7	640.212
isogroup=40980	c1258127	551493	551843	NA	4	397.398
isogroup=40981	c2328114	195655	195865	NA	1	8.105
isogroup=40984	c2321558	60758	61085	NA	3	236.958
isogroup=40985	c1889019	238273	237923	NA	8	780.599
isogroup=40989	c1899612	26449	26107	NA	8	814.07
isogroup=43046	c1651196	95098	94773	NA	4	405.85
isogroup=41585	c1186705	373558	373220	NA	12	1166.137
isogroup=41582	c2035504	93578	93257	NA	5	485.463
isogroup=41580	c1544583	195215	194877	NA	4	418.061
isogroup=2434	c1326140	126399	124558	RFX family transcription factor ; regulatory factor X 4 E=2e-120	6	629.638
isogroup=41588	c90755	292095	291782	NA	4	358.253
isogroup=7048	c2079967	57995	58986	NA	2	117.298
isogroup=7357.1	c1730470	16738	16946	NA	9	913.122
isogroup=7045	c1657122	465936	464904	SOK1 kinase belonging to the STE20/SPS1/GC kinase family	2	169.465
isogroup=7047	c622226	52997	53418	NA	6	575.594
isogroup=7046	c2481746	215688	216421	Myosin class II heavy chain ; homer E=5e-36	1	35.253
isogroup=7041	c212034	270161	268644	NA	7	715.024
isogroup=7043	c1076932	287965	286318	Wnt family of developmental regulators ; wingless-type MMTV integration site family, member 6 E=6e-161	10	937.741
isogroup=7042	c27769	84058	85305	F-actin capping protein, beta subunit ; capping protein (actin filament) muscle Z-line, beta E=6e-97	4	376.143
isogroup=29332	c738796	18369	18015	Neurexin III-alpha ; neurexin E=4e-46	3	247.56
isogroup=422	c2104237	118490	115905	NA	1	65.125
isogroup=29337	c1535086	194870	194692	NA	4	344.456
isogroup=29334	c1057819	46112	45527	NA	14	1331.649
isogroup=29335	c784178	48994	49363	NA	4	368.143
isogroup=29339	c2034620	65424	65645	Divalent cation tolerance-related protein	1	87.357
isogroup=21358	c2297065	24233	23954	SWAP mRNA splicing regulator	10	981.298
isogroup=427	c495563	381055	382937	Clathrin coat dissociation kinase GAK/PTEN/Auxilin and related tyrosine phosphatases ; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase [EC:3.1.3.67] E=8e-124	10	919.45
isogroup=21651	c1474709	177355	177837	NA	2	173.359
isogroup=21652	c1547727	318295	317401	NA	11	1080.619
isogroup=21655	c979137	142299	142599	NA	8	767.006
isogroup=21654	c1879802	232670	233010	RNA polymerase I transcription factor UAF	2	138.707
isogroup=21656	c1879802	216198	216881	Transcription factor EMX1 and related HOX domain proteins ; homeobox protein EMX E=1e-64	2	138.707
isogroup=21658	c1961185	55298	56048	60s ribosomal protein L2/L8 ; large subunit ribosomal protein L8e E=4e-11	8	761.761
isogroup=34077	c63475	492893	493344	ubiquitin-conjugating enzyme E2 L3 [EC:6.3.2.19] E=7e-08	1	69.214
isogroup=34075	c1724786	30235	30019	NA	4	346.255
isogroup=34074	c908618	30474	30816	L-rhamnose mutarotase [EC:5.1.3.-] E=5e-28	13	1236.731
isogroup=34072	c751280	8352	8079	NA	13	1273.567
isogroup=34070	c83038	214137	214542	NA	5	518.772
isogroup=34079	c1506025	129726	130020	NA	6	588.09
isogroup=32659	c1953541	348497	348010	WD40 repeat-containing protein ; WD repeat-containing protein 61 E=2e-67	7	697.915
isogroup=17036	c2355867	312559	311595	U1-like Zn-finger-containing protein, probabl erole in RNA processing/splicing ; bud site selection protein 20 E=2e-55	2	148.556
isogroup=26022	c2375242	224191	224366	DNA-directed RNA polymerase III subunit RPC7 E=2e-54	1	41.153
isogroup=26021	c2171061	258647	257899	Acid trehalase ; kojibiose phosphorylase [EC:2.4.1.230] E=4e-06	3	255.968
isogroup=9565.1	c753180	248910	249311	NA	2	113.012
isogroup=26026	c2430742	406976	406254	NA	11	1070.842
isogroup=26029	c2079967	248872	248124	NA	2	126.378
isogroup=26028	c1727753	486424	486825	NA	7	685.074
isogroup=3428.1	c518579	44381	45054	NA	4	328.243
isogroup=19280	c495563	79176	79454	thyroglobulin E=3e-08	10	924.335
isogroup=22308	c2216172	59454	59114	Basement membrane-specific heparan sulfate proteoglycan (HSPG) core protein ; GTPase KRas E=1e-12	4	377.858
isogroup=22302	c2336561	296334	297331	cellular nucleic acid-binding protein E=3e-10	7	669.679
isogroup=22300	c433953	180338	179889	Ca2+/Mg2+-permeable cation channels (LTRPC family) ; elongation factor 2 kinase [EC:2.7.11.20] E=9e-16	6	582.018
isogroup=23659	c2438805	236124	235772	NA	12	1133.26
isogroup=23658	c483459	46918	47823	NA	3	297.929
isogroup=23653	c1254105	87545	87049	NA	4	381.647
isogroup=3665	c1506025	587692	588671	Predicted N6-adenine RNA methylase ; mRNA (2-O-methyladenosine-N6-)-methyltransferase [EC:2.1.1.62] E=2e-173	6	588.09
isogroup=23651	c2483218	2465	2839	Projectin/twitchin and related proteins ; heparan sulfate proteoglycan 2 (perlecan) E=3e-24	12	1115.031
isogroup=23650	c1789852	389321	388748	NA	14	1339.939
isogroup=23657	c1366711	24863	24469	NA	9	890.047
isogroup=26687	c486289	96158	96870	NA	1	108.767
isogroup=26685	c1681168	132801	133493	cAMP-dependent protein kinase types I and II, regulatory subunit ; cAMP-dependent protein kinase regulator E=1e-08	11	1058.021
isogroup=26682	c1868152	676296	677026	NA	1	39.428
isogroup=19133	c251430	56956	56681	NA	10	948.645
isogroup=19132	c1345881	309669	310307	NA	3	289.942
isogroup=18779	c1406342	103462	102845	Ubiquitin-protein ligase ; ubiquitin-conjugating enzyme E2 T [EC:6.3.2.19] E=5e-59	6	609.305
isogroup=26689	c2438112	150066	149353	NA	2	204.633
isogroup=17799	c1530467	67238	67442	Protein kinase of the PI-3 kinase family involved in mitotic growth, DNA repair and meiotic recombination	9	851.495
isogroup=27371	c1376569	251075	251755	NA	2	147.26
isogroup=27372	c1786112	179555	179034	Ubiquinol cytochrome c reductase, subunit QCR8	5	516.545
isogroup=27374	c1721495	81696	81048	NA	9	861.963
isogroup=27376	c1681168	175200	175671	NA	11	1058.021
isogroup=444	c2335714	357593	356566	Helicases ; helicase required for RNAi-mediated heterochromatin assembly 1 [EC:3.6.4.13] E=4e-174	2	120.909
isogroup=27379	c2260754	745591	746174	NA	8	775.741
isogroup=6998	c1900513	21030	22221	Nuclear localization sequence binding protein	11	1081.769
isogroup=26971	c1486797	110116	109429	NA	7	718.139
isogroup=26973	c1625311	194264	194719	NA	13	1272.529
isogroup=26972	c1853226	679	492	Mitochondrial import inner membrane translocase, subunit TIM22	3	276.825
isogroup=26977	c1969463	110891	110573	Histones H3 and H4 ; histone H3-like centromeric protein A E=2e-43	8	775.897
isogroup=26976	c1639439	160722	160627	von Willebrand factor and related coagulation proteins ; discoidin domain receptor family member 1 [EC:2.7.10.1] E=1e-66	11	1056.67
isogroup=26979	c1463175	527112	526953	Fibrillins and related proteins containing Ca2+-binding EGF-like domains ; Notch E=1e-35	5	460.719
isogroup=26978	c1721495	82432	81874	NA	9	861.963
isogroup=27088	c948860	70890	70211	NA	7	640.212
isogroup=27082	c1247922	289376	288684	NA	9	910.133
isogroup=27080	c1639952	41881	41223	NA	10	968.355
isogroup=27086	c455742	9340	9091	NA	4	389.89
isogroup=27084	c2149701	33690	33926	NA	14	1414.6
isogroup=27085	c1790586	96490	95823	NA	11	1059.305
isogroup=757	c151167	327245	324813	kinesin family member 1/13/14 E=6e-122	13	1258.191
isogroup=755	c1515463	355537	352995	PHD finger protein ; protein Jade-1 E=2e-43	12	1210.888
isogroup=754	c1591897	17275	15870	Predicted transporter (ABC superfamily) ; ATP-binding cassette, sub-family F, member 2 E=3e-69	9	872.38
isogroup=752	c376833	165044	166025	Leucine-rich repeat proteins ; phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchanger 1 protein E=4e-15	7	682.599
isogroup=751	c1098852	112851	113872	Myosin class II heavy chain	14	1382.866
isogroup=759	c1378457	140805	142049	Collagens (type IV and type XIII), and related proteins ; matrix metalloproteinase-9 (gelatinase B) [EC:3.4.24.35] E=1e-32	14	1366.966
isogroup=14558	c1443265	218843	219807	Transcription factor zerknullt and related HOX domain proteins ; Antp family, other E=8e-80	7	678.516
isogroup=11708	c2412538	664533	666193	Predicted regulator of the ubiquitin pathway (contains UAS and UBX domains)	6	619.704
isogroup=11704	c1895421	303651	304425	NA	9	861.022
isogroup=14557	c1094090	18212	17595	TNF receptor-associated factor ; TNF receptor-associated factor 4 E=4e-62	6	620.772
isogroup=11702	c2014472	98837	98093	NA	5	469.42
isogroup=11703	c1503441	137180	137384	dynein heavy chain 1, cytosolic E=2e-143	8	740.591
isogroup=10079	c1387754	36479	35836	Mitogen-activated protein kinase ; mitogen-activated protein kinase 7 [EC:2.7.11.24] E=1e-106	12	1151.597
isogroup=10078	c1253424	463994	464348	Collagens (type IV and type XIII), and related proteins	6	580.714
isogroup=10074	c1244792	75161	74732	Predicted tubulin-tyrosine ligase ; tubulin---tyrosine ligase [EC:6.3.2.25] E=1e-167	7	667.631
isogroup=10076	c1081312	58834	56983	NA	14	1354.41
isogroup=10070	c1814209	305819	306928	WD40 repeat-containing protein ; transcription initiation factor TFIID subunit 5 E=2e-09	13	1230.622
isogroup=10073	c2216172	606966	606224	FOG: Immunoglobin and related proteins ; brain-specific angiogenesis inhibitor 3 E=2e-48	4	377.858
isogroup=28705	c1486158	52832	53426	NA	12	1146.932
isogroup=288	c772136	180727	182143	Guanine nucleotide exchange factor	4	326.751
isogroup=285	c2407255	862579	863966	Membrane-associated protein FER-1 and related ferlins, contain multiple C2 domains ; phosphatidylinositol-4-phosphate 3-kinase [EC:2.7.1.154] E=1e-06	3	307.815
isogroup=284	c1657122	504835	506725	Predicted transcriptional regulator, contains ARID domain ; AT-rich interactive domain-containing protein 1 E=2e-12	2	166.685
isogroup=18662	c2013605	194632	194318	NA	9	837.393
isogroup=18663	c552731	193069	193245	Adaptor for phosphoinositide 3-kinase ; suppressor of cytokine signaling 5 E=2e-09	1	23.835
isogroup=18664	c1743069	242182	241524	NA	3	263.059
isogroup=18665	c2102192	147208	148351	NA	5	450.842
isogroup=18667	c1334554	135958	136895	NA	9	906.657
isogroup=16955	c829944	131998	131753	Glycosyltransferase ; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15] E=2e-73	8	742.444
isogroup=16957	c1509930	368278	367946	G protein-coupled receptor ; G protein-coupled receptor 103 E=7e-59	4	324.119
isogroup=16951	c1903291	246353	246999	NA	14	1341.024
isogroup=16958	c2408576	3534	3988	RNA helicase ; putative helicase MOV10L1 [EC:3.6.4.13] E=2e-163	11	1032.051
isogroup=20681	c1616442	11566	12641	NA	6	544.68
isogroup=20680	c1098898	49860	50366	Cubilin, multiligand receptor mediating cobalamin absorption	11	1061.057
isogroup=20683	c2338234	318395	317320	NA	2	118.332
isogroup=20682	c1571214	159012	157945	NA	6	611.626
isogroup=20685	c2438805	288824	289098	NA	12	1133.26
isogroup=20689	c1462977	91443	90352	Heme oxygenase ; heme oxygenase [EC:1.14.99.3] E=2e-86	7	644.029
isogroup=17397	c1641973	146282	146759	Putative growth response protein	7	703.57
isogroup=17396	c2102192	82327	83012	Meprin A metalloprotease ; cubilin E=4e-51	5	450.842
isogroup=17391	c2396761	59566	60144	Sortilin and related receptors ; pancreatic triacylglycerol lipase [EC:3.1.1.3] E=6e-130	6	631.375
isogroup=17393	c568938	34760	35865	NA	13	1273.237
isogroup=17399	c2255298	12260	12918	NA	10	1020.028
isogroup=20539	c406864	306800	307881	NA	9	873.925
isogroup=20538	c1397839	331691	332284	NA	8	806.106
isogroup=20533	c1899612	335892	335467	Collagens (type IV and type XIII), and related proteins ; ectodysplasin-A E=1e-28	8	814.07
isogroup=20531	c2406142	80579	80190	Alpha-catenin	2	186.068
isogroup=20530	c1079751	49273	48503	Subtilisin-like proprotein convertase ; furin [EC:3.4.21.75] E=2e-10	5	509.867
isogroup=20536	c1021649	100465	100671	HEAT repeat-containing protein ; deoxyhypusine monooxygenase [EC:1.14.99.29] E=7e-48	9	857.252
isogroup=20535	c721405	79624	79681	NA	5	514.46
isogroup=20534	c1283450	35049	35885	NA	2	154.324
isogroup=22616	c1258127	239106	239349	urease accessory protein E=4e-175	4	397.398
isogroup=21379	c90755	245991	246397	Alkyl hydroperoxide reductase, thiol specific antioxidant and related enzymes ; peroxiredoxin 1 [EC:1.11.1.15] E=2e-39	4	357.027
isogroup=22617	c698922	35994	36585	Carbonic anhydrase ; carbonic anhydrase [EC:4.2.1.1] E=5e-98	12	1186.565
isogroup=17242	c2412538	156342	157284	FOG: 7 transmembrane receptor ; histamine receptor H2 E=4e-12	6	617.249
isogroup=17241	c1651196	127818	126956	Mitochondrial/chloroplast ribosomal protein L4/L29 ; ubiquitin carboxyl-terminal hydrolase 34 [EC:3.1.2.15] E=6e-09	4	405.85
isogroup=17240	c967499	96480	96941	Uncharacterized conserved protein	14	1335.291
isogroup=16042	c1376569	178730	178174	RNA helicase	2	147.26
isogroup=16043	c2173185	211735	210704	Sorbitol dehydrogenase ; tumor protein p53-inducible protein 3 [EC:1.-.-.-] E=2e-05	6	594.503
isogroup=16047	c1463175	321871	320575	NA	5	460.719
isogroup=16044	c2509380	49719	48574	phosphatidylinositol alpha-mannosyltransferase [EC:2.4.1.57] E=8e-16	5	471.109
isogroup=16045	c2160749	137709	137243	G protein-coupled receptors ; latrophilin 2 E=9e-60	9	859.44
isogroup=13679	c103885	184343	184190	NMD protein affecting ribosome stability and mRNA decay ; nonsense-mediated mRNA decay protein 3 E=5e-55	9	835.588
isogroup=13676	c993999	161892	160423	NA	10	972.97
isogroup=18343	c1186919	41913	40803	Ca2+ sensor (EF-Hand superfamily) ; recoverin E=6e-10	1	74.742
isogroup=18341	c1605889	519501	520678	Predicted membrane proteins, contain hemolysin III domain ; adiponectin receptor E=2e-76	4	379.539
isogroup=15634	c1627629	174738	175420	NA	2	146.564
isogroup=15631	c2154778	242586	241643	NA	4	364.655
isogroup=15632	c2028425	152157	151917	Permease of the major facilitator superfamily ; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other E=9e-70	2	136.261
isogroup=15633	c1370645	223857	224130	M13 family peptidase ; endothelin-converting enzyme [EC:3.4.24.71] E=2e-112	5	439.045
isogroup=44355	c662103	349034	348813	NA	13	1274.107
isogroup=15638	c2493125	611725	610417	NA	2	206.825
isogroup=15639	c1814581	129824	130913	MEKK and related serine/threonine protein kinases ; mitogen-activated protein kinase kinase kinase 2 [EC:2.7.11.25] E=2e-72	10	924.639
isogroup=44354	c1399759	33137	32826	NA	5	465.634
isogroup=31305	c2289075	579106	579493	NA	3	241.914
isogroup=18345	c1803350	263588	262760	Reticulocalbin, calumenin, DNA supercoiling factor, and related Ca2+-binding proteins of the CREC family (EF-Hand protein superfamily)	1	35.667
isogroup=31302	c2326104	22161	21638	NA	1	51.87
isogroup=18344	c1321846	183208	182825	NA	8	802.574
isogroup=4048	c542834	62913	61334	Uncharacterized conserved protein	6	594.853
isogroup=15.1	c2111989	145703	148808	NA	13	1290.859
isogroup=4044	c2104237	90788	91925	G protein-coupled seven transmembrane receptor	1	65.125
isogroup=31301	c1789852	159406	158880	NA	14	1337.529
isogroup=4040	c2096175	254222	254996	Transcription coactivator	2	203.528
isogroup=4042	c2433039	207938	206561	Spliceosomal protein snRNP-U1A/U2B ; U1 small nuclear ribonucleoprotein A E=1e-51	6	596.031
isogroup=4043	c1591897	104160	103179	Non voltage-gated ion channels (DEG/ENaC family) ; amiloride-sensitive cation channel 2, neuronal E=2e-175	4	427.777
isogroup=1278	c2407255	610745	608662	Proline oxidase ; hydroxyproline oxidase [EC:1.5.-.-] E=6e-163	3	306.022
isogroup=1279	c1868152	164509	163579	Nonsense-mediated mRNA decay protein ; protein SMG6 [EC:3.1.-.-] E=4e-16	1	41.765
isogroup=1274	c2433955	309134	312426	Glycoprotein hormone receptor ; thyroid stimulating hormone receptor E=7e-81	11	1103.809
isogroup=1275	c1470819	151351	151822	Ubiquitin-like protein, regulator of apoptosis ; ubiquitin C E=3e-06	1	86.15
isogroup=1276	c2028425	460607	462605	NADPH oxidase ; neutrophil cytosolic factor 1 E=3e-74	2	136.261
isogroup=1270	c1504605	285804	283345	Amino acid transporters ; basic amino acid/polyamine antiporter, APA family E=3e-121	4	376.614
isogroup=5792	c1903291	170639	170946	Disintegrin metalloproteinases with thrombospondin repeats ; a disintegrin and metalloproteinase with thrombospondin motifs 16 [EC:3.4.24.-] E=3e-176	14	1341.024
isogroup=1273	c90755	183857	183463	Protein kinase of the PI-3 kinase family involved in mitotic growth, DNA repair and meiotic recombination ; ataxia telangectasia mutated family protein [EC:2.7.11.1] E=3e-171	4	357.722
isogroup=39396	c1199320	45476	45106	NA	14	1394.048
isogroup=5853	c697524	35544	34928	arachidonate 5-lipoxygenase [EC:1.13.11.34] E=6e-152	12	1162.384
isogroup=8019	c944390	45965	46925	gastric intrinsic factor E=4e-38	11	1064.119
isogroup=8018	c1541403	8041	7671	K+-dependent Na+:Ca2+ antiporter ; solute carrier family 24 (sodium/potassium/calcium exchanger), member 1 E=2e-11	3	258.587
isogroup=15090	c388397	241303	240574	Pyrroline-5-carboxylate reductase ; pyrroline-5-carboxylate reductase [EC:1.5.1.2] E=2e-143	5	490.143
isogroup=15092	c2079967	160451	161046	Polytopic membrane protein Prominin	2	117.298
isogroup=15093	c1145522	33432	33794	TBX1 and related T-box transcription factors ; T-box protein 10 E=8e-85	5	512.576
isogroup=15095	c561343	194708	195203	Ficolin and related extracellular proteins ; heparan sulfate proteoglycan 2 (perlecan) E=1e-107	4	352.648
isogroup=15096	c1415310	73368	73945	Palmitoyl protein thioesterase ; palmitoyl-protein thioesterase [EC:3.1.2.22] E=2e-128	2	144.324
isogroup=8014	c751280	59965	60308	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein E=8e-10	13	1273.567
isogroup=14945	c2321558	250176	250447	mRNA export protein (contains WD40 repeats) ; cell cycle arrest protein BUB3 E=2e-44	3	236.958
isogroup=14944	c483459	8734	7586	NA	3	292.253
isogroup=14947	c1081312	434419	433761	NA	14	1347.638
isogroup=14949	c187788	51662	52099	NA	13	1235.75
