lg	variant	cM
1	c1238682_140185	62.91
1	c1238682_152228	63.522
1	c1217446_838304	64.333
1	c1387864_119582	64.428
1	c2372555_218862	64.658
1	c1300534_233414	64.793
1	c1217446_98706	64.962
1	c1217446_504201	65.234
1	c1482596_93348	65.87
1	c1482596_93344	65.87
1	c857432_4331	65.876
1	c857432_4337	65.972
1	c2170925_101276	66.155
1	c1642521_24200	66.545
1	c1195999_212067	66.742
1	c2396761_555610	67.003
1	c1474057_1909	67.395
1	c1217446_136783	67.42
1	c1868152_252381	68.328
1	c1217446_607667	68.373
1	c1868152_289385	68.874
1	c1217446_732324	69.132
1	c1954722_62110	70.097
1	c1868152_574057	70.539
1	c1954722_117946	70.804
1	c2375242_56967	71.419
1	c2375242_501518	72.666
1	c1883614_292550	73.02
1	c1251492_64429	74.148
1	c2481746_59876	74.366
1	c1803350_638171	74.815
1	c2375242_312478	75.466
1	c1949539_13355	75.657
1	c1251492_39489	76.032
1	c1251492_39501	76.181
1	c852111_51538	76.345
1	c1803350_576292	77.095
1	c1883614_86028	77.528
1	c2050722_200432	78.181
1	c2050722_248870	78.832
1	c1951106_145637	79.128
1	c539116_52361	79.9
1	c1020856_9227	80.19
1	c1803350_877505	80.911
1	c2050722_343885	81.618
1	c539116_52340	82.184
1	c1951106_167192	82.746
1	c2050722_330878	82.945
1	c1633648_189789	83.632
1	c1951106_167051	83.915
1	c1951106_98163	84.473
1	c2050722_343864	84.565
1	c552731_303164	85.647
1	c1633648_194816	86.021
1	c1633648_266361	87.597
1	c1381720_25005	88.79
1	c1951106_172896	89.477
1	c2328114_18116	92.786
1	c2328114_18107	94.04
1	c2508037_171624	94.364
1	c2508037_171623	94.364
1	c2328114_229353	95.946
1	c1804020_51755	96.741
1	c1804020_51748	97.492
1	c2328114_208450	97.616
1	c2328114_26623	98.059
1	c2328114_82931	98.968
1	c2328114_229352	99.408
1	c1804020_189728	100.033
1	c2328114_26643	101.448
1	c2328114_82910	102.589
1	c1480326_218970	103.635
1	c1060912_292901	104.959
1	c1443265_359059	108.327
1	c2328114_229343	109.18
2	c2335714_105395	110.18
2	c753180_80151	114.922
2	c801076_25924	115.775
2	c134077_37998	119.249
2	c2338234_183806	120.437
2	c1550546_223810	121.727
2	c1550546_223791	122.168
2	c753180_465773	123.6
2	c1486334_229961	124.96
2	c1967874_10536	126.717
2	c1550546_27185	126.994
2	c1078498_136667	128.536
2	c801076_158221	128.646
2	c666934_31873	130.466
2	c1078498_32354	131.34
2	c2461417_145043	131.476
2	c1530838_379509	132.464
2	c1504605_359371	132.712
2	c1504605_363583	133.783
2	c1879802_640441	135.835
2	c1530838_359877	137.651
2	c851443_139519	138.082
2	c851443_139507	138.565
2	c2079967_220807	140.178
2	c2079967_276495	140.542
2	c2079967_300858	142.343
2	c1879802_145860	144.227
2	c2028425_373502	145.76
2	c2028425_536243	146.489
2	c2028425_439050	147.208
2	c1879802_243081	147.247
2	c792022_335583	147.59
2	c792022_381357	148.016
2	c1879802_430823	148.167
2	c792022_71553	148.834
2	c792022_71546	149.599
2	c1879802_687075	150.317
2	c2028425_9350	150.815
2	c885249_81504	152.667
2	c1415310_293939	155.358
2	c1283450_25835	156.064
2	c1356584_14830	156.291
2	c1081122_84154	156.804
2	c1466280_377329	157.02
2	c1276491_183505	157.146
2	c2039658_124532	157.679
2	c1681116_91437	158.082
2	c977225_49720	158.176
2	c2048511_24822	158.512
2	c1276491_102636	158.745
2	c1081122_122405	158.824
2	c1466280_77322	159.62
2	c1501990_80701	159.783
2	c1466280_233898	159.888
2	c1081122_92734	160.176
2	c1246551_22418	160.194
2	c1081122_98659	160.199
2	c1255891_194415	160.501
2	c977225_58813	160.765
2	c977225_58810	160.765
2	c2355867_110891	161.022
2	c2355867_273228	161.721
2	c1376569_549689	161.91
2	c2355867_109161	162.41
2	c1681116_84139	162.587
2	c1466280_121323	162.667
2	c2355867_67939	163.334
2	c1452092_58691	163.829
2	c2312187_215715	164.047
2	c1452092_58684	164.404
2	c1452092_68899	164.738
2	c1376569_549686	164.907
2	c1627629_439673	165.103
2	c657820_53375	166.02
2	c2037413_16120	166.595
2	c1272712_65184	167.452
2	c1193587_53248	169.326
2	c2355867_110884	170.651
2	c1771201_115132	173.217
2	c1193587_272454	173.642
2	c1953541_215403	174.843
2	c2076564_289377	175.124
2	c2076564_289365	175.151
2	c1953541_265567	176.203
2	c645139_22731	176.224
2	c1953541_222793	176.945
2	c1953541_222769	177.106
2	c1953541_222794	177.223
2	c645139_26047	177.519
2	c1474709_147032	177.926
2	c1474709_108735	178.745
2	c1193587_53254	179.158
2	c1474709_155186	179.573
2	c1657122_660776	180.021
2	c1657122_484051	180.764
2	c1657122_484055	181.143
2	c1657122_695597	181.501
2	c1657122_452523	181.656
2	c1929204_32818	181.703
2	c1657122_538921	183.204
2	c1657122_451635	183.875
2	c1266025_46017	185.453
2	c1474709_14126	185.675
2	c2111098_171021	189.651
2	c1382470_19185	190.236
2	c2111098_97673	190.292
2	c2111098_97675	190.67
2	c917023_115001	191.61
2	c917023_164221	192.393
2	c1098852_170367	192.682
2	c2111098_185651	193.686
2	c2111098_185810	194.545
2	c1312508_15072	200.622
2	c1312508_20343	201.382
2	c1312508_15093	202.478
2	c1382470_96301	202.515
2	c1691015_65996	203.591
2	c1621631_117328	204.099
2	c1895421_406686	204.675
2	c791628_34543	205.483
2	c1895421_179744	205.619
2	c2512412_271464	207.096
2	c2512412_341579	207.976
2	c1621631_82628	208.628
2	c2512412_390649	208.915
2	c2498780_154761	209.109
2	c2512412_136063	210.155
2	c2111098_184423	210.724
2	c2512412_753805	211.475
2	c2512412_753794	211.475
2	c2512412_736788	212.868
2	c1521926_12614	213.527
2	c1724913_74010	214.258
2	c2493125_614191	215.062
2	c2046414_72511	215.321
2	c2493125_340830	215.661
2	c2493125_459929	216.485
2	c2096175_73590	217.731
2	c2438112_24253	218.216
2	c2493125_70672	218.958
2	c2512412_320179	221.291
2	c1770459_108918	225.323
3	c1891549_616837	226.323
3	c1276390_188539	228.273
3	c1891549_239080	235.355
3	c231001_111337	235.37
3	c1891549_617706	236.037
3	c231001_184131	236.169
3	c1891549_374653	237.433
3	c2407255_793780	238.403
3	c671891_107822	240.155
3	c2407255_793772	240.45
3	c2407255_474916	241.317
3	c1891549_379080	241.93
3	c2407255_487566	242.285
3	c2219165_44220	243.648
3	c2219165_83889	244.004
3	c2219165_35448	244.289
3	c2219165_83890	245.277
3	c2219165_83898	245.347
3	c2219165_50468	245.678
3	c2219165_50469	245.678
3	c2407255_880156	246.363
3	c2407255_190941	246.794
3	c2407255_190944	247.033
3	c2407255_253021	247.728
3	c1345881_209314	248.747
3	c1345881_255271	249.371
3	c2031013_91561	250.584
3	c483459_47829	250.647
3	c1345881_212640	250.699
3	c1489382_335904	250.808
3	c1489382_256542	251.135
3	c1004561_21687	251.327
3	c1489382_291504	251.367
3	c1489382_306698	252.174
3	c2407255_34373	252.527
3	c1345881_54573	253.2
3	c1401140_190669	253.587
3	c1345881_232957	253.914
3	c483459_42390	255.028
3	c483459_42378	255.7
3	c1345881_240048	256.334
3	c1853226_313385	256.543
3	c1489382_256930	256.89
3	c1269642_145954	257.236
3	c1345881_265466	257.868
3	c1269642_77931	258.074
3	c1811763_28016	258.607
3	c1811763_165766	259.903
3	c1811763_141154	261.157
3	c1811763_165745	261.233
3	c1261582_79716	266.137
3	c1957995_34610	267.542
3	c2379886_339118	269.147
3	c2379886_418511	270.177
3	c2295915_248101	270.421
3	c704122_39924	270.81
3	c1743069_137453	274.663
3	c1743069_64575	275.313
3	c1356045_159446	276.199
3	c49388_228170	277.742
3	c2045901_31058	278.323
3	c1353115_22963	279.046
3	c1353115_22964	279.046
3	c1364642_10908	280.82
3	c1807492_104688	281.13
3	c1364642_14538	281.543
3	c1356045_16053	281.808
3	c1356045_16052	281.808
3	c2295001_56317	282.267
3	c2045901_46468	282.862
3	c1194010_51423	283.269
3	c1356045_202654	283.301
3	c917489_326538	283.606
3	c353117_17784	284.139
3	c1633447_42442	284.775
3	c1356045_99353	285.123
3	c1356045_99347	285.123
3	c49388_145637	285.754
3	c917489_326517	285.988
3	c2217139_126058	286.05
3	c1004561_60300	287.16
3	c1403335_135194	287.498
3	c1403335_135196	287.812
3	c2171061_211774	288.964
3	c1194010_69111	291.0
3	c49405_2780	291.969
3	c2363907_90359	293.255
3	c1541648_60882	296.157
3	c2467517_210137	297.678
3	c738796_320901	300.529
3	c1350740_188952	303.596
3	c507276_980	304.806
3	c1720617_46679	305.029
3	c1235448_130870	305.593
3	c2321558_374596	306.963
3	c2321558_513371	307.984
3	c1112596_90063	308.626
3	c42190_85329	309.66
3	c58483_42224	310.093
3	c1112596_96294	310.399
3	c1112596_96297	310.871
3	c58483_265665	311.987
3	c1235448_263409	313.857
3	c2214146_98321	314.916
3	c2321558_287217	315.428
3	c2214146_123509	315.99
3	c1467554_122417	320.388
3	c58483_232928	323.412
3	c1112596_115586	330.351
4	c2516308_230246	331.351
4	c2516308_344266	336.459
4	c196579_341395	344.405
4	c196579_204292	347.403
4	c196579_81430	349.026
4	c697924_56387	350.629
4	c1145493_35197	353.372
4	c1253424_117644	356.797
4	c1253424_117634	357.438
4	c1253424_117639	358.119
4	c2121679_177128	361.923
4	c891247_43152	362.265
4	c1253424_301303	362.478
4	c2173185_73410	362.829
4	c1253424_301317	363.512
4	c2402279_338931	364.175
4	c1902022_109112	365.688
4	c1848581_92838	365.746
4	c1809197_62675	366.57
4	c1506025_13088	366.926
4	c1506025_70188	367.134
4	c1398227_102500	367.765
4	c885254_86963	368.287
4	c1448495_144268	368.458
4	c1774267_98071	369.02
4	c1902022_171060	369.08
4	c885254_64709	369.4
4	c2043012_51641	369.434
4	c1506025_17030	369.438
4	c1774267_223848	370.821
4	c885254_53487	371.318
4	c1451773_82350	371.371
4	c542834_69588	371.478
4	c2173185_51142	372.709
4	c2433039_218890	372.802
4	c1774267_115316	373.33
4	c891247_43153	373.956
4	c891247_50249	375.029
4	c891247_43143	375.923
4	c1078092_5174	376.15
4	c2402279_149574	378.21
4	c1709479_68082	378.47
4	c2433039_703204	381.407
4	c2477173_45215	382.52
4	c2165933_272317	383.743
4	c2165933_272315	383.743
4	c1253424_435771	384.587
4	c692458_42830	385.329
4	c692458_42809	385.329
4	c1145493_43230	386.239
4	c1571214_184436	387.275
4	c2477173_162579	387.573
4	c1371088_43225	387.654
4	c1571214_159544	388.528
4	c1784202_164943	390.405
4	c1813332_282421	391.248
4	c1784202_124159	391.865
4	c1784202_164947	392.107
4	c1813332_339211	392.782
4	c1901282_27240	393.163
4	c1901282_96718	394.231
4	c1406342_36987	394.727
4	c697924_263052	395.55
4	c1901282_95034	395.577
4	c2412538_483912	397.232
4	c2412538_773672	397.903
4	c2412538_331094	398.691
4	c2412538_664918	399.86
4	c2412538_387846	401.176
4	c2412538_387840	401.176
4	c2445836_205639	401.949
4	c1094090_22663	402.672
4	c1064125_62946	403.444
4	c2396761_68095	405.555
4	c1787398_295945	406.786
4	c1787398_285669	407.916
4	c1326140_101031	408.775
4	c2396761_261438	409.656
4	c738100_34811	409.761
4	c1326140_360919	409.806
4	c1874708_150591	410.441
4	c1326140_15171	410.872
4	c2259337_91390	411.467
4	c738100_34820	412.332
4	c2396761_335716	412.727
4	c2259337_128486	415.484
4	c1616442_23695	417.241
4	c1399127_122172	419.402
4	c1399127_54829	421.166
4	c327712_41119	422.777
4	c2221032_148735	425.734
4	c591113_73462	427.059
4	c2221032_148737	427.404
4	c1597072_55984	428.867
4	c2303629_43251	430.269
4	c1597072_115336	430.787
4	c591113_53755	431.401
4	c2516308_333838	433.495
4	c1617727_142761	435.345
4	c2150838_411087	437.72
4	c2221032_124985	440.253
5	c1564364_364589	441.253
5	c1370645_241070	445.757
5	c1023312_149130	448.648
5	c1463175_42494	449.774
5	c2150468_95146	456.18
5	c2102192_24084	459.377
5	c505215_1260	461.074
5	c711471_53743	462.453
5	c2171152_148188	464.107
5	c1564364_434175	464.513
5	c1564364_372718	465.217
5	c1048972_129541	466.798
5	c1463175_72035	468.176
5	c121336_2678	468.739
5	c1370645_157871	469.674
5	c2171152_148183	470.637
5	c2441680_146653	470.731
5	c1399759_44086	472.084
5	c1969144_94032	472.503
5	c1266910_20892	473.687
5	c880894_29889	475.207
5	c683931_13458	475.955
5	c2014472_142719	477.203
5	c2117263_60671	478.34
5	c1334583_10138	479.502
5	c880894_3313	479.72
5	c2478742_303093	481.078
5	c1503152_22528	482.297
5	c2478742_99491	482.926
5	c564625_53821	483.043
5	c2171152_142982	483.253
5	c2171152_138314	484.476
5	c2186193_124227	484.501
5	c2171152_30650	485.438
5	c564625_50615	485.892
5	c723676_24050	486.564
5	c1398802_91269	487.004
5	c1938765_245021	487.894
5	c1398802_39772	488.254
5	c1398802_61461	488.311
5	c2186193_74818	488.317
5	c2171152_17014	488.335
5	c564625_53831	489.276
5	c1398802_124254	489.622
5	c898951_17388	490.427
5	c844123_86767	490.723
5	c1408032_111825	491.931
5	c1806217_147028	492.734
5	c2035504_266135	493.479
5	c1334583_92840	493.694
5	c1334583_92813	493.811
5	c1406777_101881	494.259
5	c1509251_244175	495.016
5	c182164_35889	495.475
5	c2035504_993	495.688
5	c1057753_104546	495.922
5	c1042243_40107	496.397
5	c1406777_64797	496.895
5	c1398802_34726	497.673
5	c2167989_206250	498.294
5	c2167989_151376	498.628
5	c1689283_207406	500.926
5	c733146_57909	501.17
5	c863073_251535	501.687
5	c874914_43432	502.828
5	c874914_43427	503.289
5	c419338_98081	503.863
5	c706366_40025	504.878
5	c863073_286681	506.092
5	c1736034_52514	508.974
5	c1271740_14225	509.947
5	c2299235_178425	510.586
5	c1282361_3257	512.023
5	c419338_233650	513.409
5	c2218013_145463	514.287
5	c419338_233186	514.609
5	c1380048_172097	515.518
5	c1079751_37502	517.4
5	c1233660_169191	518.236
5	c1114394_133248	519.639
5	c1145522_31431	520.183
5	c1145522_2182	520.27
5	c1786112_33558	521.695
5	c721405_176944	521.815
5	c1087404_34687	522.449
5	c1786112_33559	522.994
5	c1114394_77317	523.399
5	c1114394_77298	523.413
5	c1079751_133187	523.425
5	c1079751_133178	523.425
5	c666183_76688	524.0
5	c1175776_20725	524.565
5	c1585541_326636	524.623
5	c1585541_326646	525.026
5	c83038_212511	525.581
5	c1254285_18703	525.808
5	c1254285_18714	525.808
5	c1786112_62493	527.135
5	c1079751_156514	527.146
5	c83038_83442	528.282
5	c1377236_49897	528.755
5	c1114394_145493	528.989
5	c1114394_66511	529.526
5	c1585541_194507	530.624
5	c83038_262679	531.511
5	c2165055_35869	533.588
5	c1370645_51867	536.987
5	c1585541_41652	537.734
5	c1585541_110860	539.437
6	c1544583_98781	540.437
6	c1544583_157425	541.702
6	c1651196_73940	549.575
6	c1651196_464500	550.303
6	c1890818_61444	552.666
6	c455742_51390	553.146
6	c1258127_67362	554.788
6	c1544583_60140	556.184
6	c1258127_69418	556.51
6	c1224702_101279	558.042
6	c1161368_115200	558.37
6	c1224702_47862	560.925
6	c569474_5804	568.401
6	c375650_47707	568.506
6	c2042759_232235	569.689
6	c2466102_121599	570.28
6	c2466102_121596	570.28
6	c2466102_79813	572.056
6	c1335768_876	572.807
6	c147367_620262	573.668
6	c27769_34219	574.583
6	c27769_34230	574.583
6	c381670_114587	575.519
6	c27769_34239	576.035
6	c917489_162442	576.539
6	c1380044_25581	576.666
6	c1335768_880	576.775
6	c1902207_32005	577.331
6	c1605889_247957	577.804
6	c1711559_84915	577.966
6	c917489_12349	578.265
6	c381670_130171	578.299
6	c1254105_15125	578.803
6	c1504605_289043	579.266
6	c1711559_63703	579.389
6	c1176741_225602	579.63
6	c1176741_247854	580.124
6	c1944970_115350	580.862
6	c1605889_372624	580.905
6	c1176741_131778	581.149
6	c1902207_101303	581.376
6	c2042759_234309	581.653
6	c1973660_155302	581.862
6	c1944970_158639	582.055
6	c935398_7878	582.672
6	c2216172_828785	583.584
6	c1254105_13289	584.305
6	c1254105_55503	584.878
6	c2159597_124467	587.011
6	c1641125_304566	587.222
6	c935398_7870	588.481
6	c857488_291659	589.658
6	c857488_291667	590.47
6	c2154778_187653	591.886
6	c857488_171339	592.304
6	c1029747_33137	592.657
6	c857488_171342	593.136
6	c31936_85443	593.686
6	c857488_267084	594.277
6	c857488_177829	595.0
6	c2257691_61635	596.255
6	c1960086_186122	596.381
6	c857488_177846	597.417
6	c1368714_33964	597.47
6	c90755_266903	598.558
6	c2257691_42030	598.565
6	c2257691_41128	598.617
6	c537298_147068	599.439
6	c1960086_260521	599.654
6	c1960086_260509	599.654
6	c90755_156671	599.976
6	c1805533_314228	600.833
6	c1805533_62693	601.156
6	c90755_260411	601.184
6	c1960086_95015	601.363
6	c90755_240206	601.793
6	c90755_287650	601.844
6	c2257691_31324	602.338
6	c1805533_278235	602.873
6	c1805533_281931	603.748
6	c561343_152684	604.239
6	c1805533_71571	607.443
6	c1805533_71565	607.443
6	c2215268_440851	607.499
6	c1724786_15801	609.257
6	c1697389_91804	610.311
6	c561343_275128	610.671
6	c1535086_77178	611.063
6	c2215268_394125	611.909
6	c1697389_23690	612.301
6	c1368465_96135	612.961
6	c1724786_17280	613.469
6	c772136_65141	614.186
6	c1724786_115193	615.411
6	c2215268_228903	615.698
6	c2192102_16498	616.218
6	c772136_231722	617.766
6	c2215268_394140	618.205
6	c1885765_114478	618.646
6	c1885765_132155	619.329
6	c772136_143851	620.589
6	c1053873_12518	624.385
6	c1885765_68927	625.265
6	c887269_133034	625.47
6	c1885765_320873	626.6
6	c1697389_93454	629.018
6	c2032291_172633	631.11
6	c1167675_107473	632.087
6	c772136_45919	632.905
6	c887269_39568	633.229
6	c518579_320666	633.728
6	c1509930_141142	633.828
6	c1167675_107471	637.234
7	c814439_74103	638.234
7	c1462977_87039	640.521
7	c894566_99553	644.163
7	c2381614_331542	644.299
7	c894566_123781	645.274
7	c2496625_256288	646.38
7	c2381614_158964	646.557
7	c948860_29937	647.335
7	c1462977_71801	649.962
7	c1462977_71813	650.86
7	c2496625_221798	652.261
7	c2303892_37880	656.307
7	c2038113_90265	657.469
7	c2303892_19515	661.521
7	c2303892_19512	661.521
7	c1610868_63	661.763
7	c1451512_119630	667.073
7	c1049963_47530	669.913
7	c2336561_461699	671.62
7	c166079_177407	673.906
7	c2142229_83946	674.356
7	c2446161_116482	674.424
7	c1384218_38475	674.917
7	c2336561_476122	674.946
7	c1451512_129267	675.058
7	c2446161_171759	675.195
7	c166079_180770	675.55
7	c815680_80770	675.96
7	c2336561_95035	676.409
7	c1499894_15131	676.771
7	c608216_53150	676.933
7	c1499894_106567	677.273
7	c2442470_41450	677.303
7	c2293978_77477	677.555
7	c2336561_348883	677.699
7	c1703633_532838	677.924
7	c2293978_61137	678.147
7	c2336561_97214	678.445
7	c2446161_60428	678.648
7	c1049963_120148	678.855
7	c2446161_211098	679.145
7	c2336561_483615	679.477
7	c1244792_14326	679.727
7	c2336561_483635	680.04
7	c869311_146724	680.435
7	c2442470_65640	681.152
7	c2045768_215633	681.589
7	c2045768_234090	681.595
7	c2045768_234091	681.595
7	c1062904_240885	682.216
7	c2045768_59522	683.757
7	c1416117_9922	684.701
7	c1443265_324975	685.731
7	c1443265_279839	686.569
7	c1662817_2910	686.793
7	c1662817_5337	687.459
7	c1662817_155978	688.605
7	c1674687_30633	688.99
7	c1662817_261843	690.081
7	c376833_27476	690.79
7	c1662817_261857	691.496
7	c242935_15580	692.525
7	c349689_1359	693.174
7	c1727753_189031	694.48
7	c1001084_39266	694.687
7	c1857688_14808	695.935
7	c1857688_78658	696.275
7	c1727753_81091	697.219
7	c1042927_1782	697.344
7	c526698_284472	698.116
7	c1857688_23226	699.966
7	c1942449_157461	702.815
7	c1953541_292911	704.456
7	c1480960_222171	705.323
7	c155237_10494	705.907
7	c2212633_33379	706.706
7	c1480960_165185	707.047
7	c1641973_78253	707.322
7	c2212633_108916	707.68
7	c2212633_108919	707.773
7	c1945778_178113	708.332
7	c1694843_204732	708.619
7	c2111989_303362	709.717
7	c2111989_321343	712.163
7	c1694843_187704	712.856
7	c1257681_28311	713.533
7	c1694843_171491	715.66
7	c1953541_367237	718.27
7	c212034_94317	718.943
7	c212034_247872	719.782
7	c2140699_22321	720.358
7	c1035089_38081	722.257
7	c1486797_102391	724.253
7	c1486797_102402	724.256
7	c1209160_127782	724.843
7	c703924_80873	727.243
7	c1486797_102376	728.514
7	c1209160_134437	729.661
8	c1716395_111158	730.661
8	c1503441_169883	738.04
8	c1084856_155134	740.593
8	c1122836_392404	742.179
8	c829944_65799	743.623
8	c1632273_9542	743.938
8	c423323_56075	745.412
8	c993855_15618	746.957
8	c1503441_130490	747.702
8	c993855_15601	748.406
8	c1004953_28132	750.346
8	c1932090_298052	753.156
8	c1085999_8803	753.966
8	c1932090_298043	756.484
8	c1694645_30920	757.084
8	c584004_3765	762.867
8	c1508940_60167	763.393
8	c835865_3894	767.282
8	c584004_3759	770.589
8	c1403335_114651	772.012
8	c1603761_35387	772.024
8	c1403335_114674	772.551
8	c1933712_43799	774.686
8	c909479_84889	775.399
8	c319758_15196	776.044
8	c869688_4868	776.191
8	c2162919_43734	776.421
8	c390018_168849	776.86
8	c1622865_46211	777.467
8	c1622865_46218	777.467
8	c1194425_119926	777.539
8	c390018_168824	777.567
8	c1961185_47883	778.083
8	c1160055_13792	778.33
8	c1261462_37075	778.535
8	c1031531_79953	778.777
8	c729516_69843	778.818
8	c538355_43576	779.52
8	c1350740_249123	779.838
8	c1160055_36047	780.201
8	c1209281_79265	780.625
8	c478580_24494	780.883
8	c1610868_27229	781.42
8	c1610868_27218	781.663
8	c1259674_33337	782.32
8	c1160055_21530	782.665
8	c1149051_54264	782.792
8	c979137_78062	783.173
8	c871763_26455	783.365
8	c1102126_5233	785.013
8	c1273661_67547	785.721
8	c1147407_1403	786.732
8	c1194425_16862	787.592
8	c1374833_3557	788.13
8	c2260754_727071	791.416
8	c1375195_104527	794.461
8	c1889019_155721	794.668
8	c1889019_51221	795.332
8	c1375195_66215	796.083
8	c1889019_388349	796.705
8	c1889019_215223	796.795
8	c1375195_22795	797.995
8	c2260250_124050	798.645
8	c1711211_163966	799.649
8	c1711211_49129	801.632
8	c2260250_343149	803.195
8	c2260250_343150	803.856
8	c2477599_279934	807.426
8	c1084663_23829	808.896
8	c569588_168831	809.946
8	c569588_288845	810.34
8	c2473936_354385	811.231
8	c1397839_362182	816.014
8	c1321846_185324	817.76
8	c1397839_343985	819.514
8	c1397839_343984	819.815
8	c1397839_344007	819.817
8	c1321846_687687	820.307
8	c1321846_428915	820.427
8	c1321846_195125	821.335
8	c1321846_983770	822.646
8	c1321846_489928	825.326
8	c1321846_137716	827.383
8	c2325895_80849	827.426
8	c1899612_372157	830.058
9	c1730470_373002	831.058
9	c1515846_5311	832.206
9	c1730470_171626	833.263
9	c1247922_208717	834.849
9	c1247922_152292	836.539
9	c1730470_229027	837.432
9	c1796893_240596	837.52
9	c206289_47900	839.02
9	c1258905_61757	840.3
9	c2409131_37303	840.562
9	c2240099_327782	841.032
9	c2409131_83645	841.692
9	c206289_187820	842.507
9	c2013605_266642	843.197
9	c2409131_159859	843.586
9	c2409131_159855	843.586
9	c2240099_278974	845.019
9	c2240099_169955	845.705
9	c2013605_260435	846.624
9	c1030207_36253	847.671
9	c2013605_106622	847.7
9	c1334554_130910	848.71
9	c2013605_39064	848.733
9	c2013605_81322	849.655
9	c1334554_77267	849.69
9	c2240099_284262	850.524
9	c1334554_446334	851.824
9	c2013605_14579	852.307
9	c103885_197925	853.034
9	c1953056_119944	854.301
9	c1366711_59965	857.739
9	c1915022_15819	857.97
9	c1726491_392013	861.769
9	c1530467_183619	863.434
9	c2216777_105552	864.38
9	c1726491_337553	866.192
9	c2392783_536	867.021
9	c1021649_210881	867.34
9	c604875_39013	868.375
9	c1514506_65630	869.398
9	c1783357_88195	869.854
9	c1047043_20094	872.068
9	c1191353_140798	873.282
9	c1591897_61617	873.461
9	c865472_35537	874.187
9	c865472_34526	874.548
9	c865472_25582	874.746
9	c865472_35517	874.972
9	c1275979_57988	875.531
9	c1694763_119226	875.71
9	c2430742_274066	876.134
9	c2357744_54875	876.162
9	c865472_37295	876.384
9	c372854_6883	876.605
9	c1694763_105053	877.541
9	c1208935_89248	877.664
9	c1208935_90925	878.059
9	c1221709_53915	878.286
9	c1407558_135046	878.964
9	c865472_132530	879.012
9	c2160749_127872	879.152
9	c1774405_50020	879.38
9	c2160749_127895	879.622
9	c1047043_20076	879.792
9	c1721495_29737	879.812
9	c1706064_70832	880.38
9	c1721495_116885	880.63
9	c952144_76082	880.684
9	c1208935_89365	880.897
9	c1021924_102278	881.898
9	c1047043_48875	882.186
9	c1047043_20072	882.987
9	c1721495_94629	883.319
9	c545963_127957	883.48
9	c406864_187777	884.064
9	c1602278_16839	884.117
9	c1895421_328025	885.788
9	c1360490_62390	887.194
9	c1360490_62369	887.67
9	c1890898_30960	888.673
9	c1890898_30958	890.544
9	c1766108_74010	892.3
9	c213727_12767	894.616
9	c2216777_29037	898.758
9	c422511_17510	899.437
10	c2438805_64747	900.437
